# Prepared at ar-dns.net - Sun, 14 Apr 2019 00:51:31 GMT
DCS000	23.111.174.198
XLX092	104.200.25.53
XLX093	185.177.59.221
XLX094	157.7.221.186
XLX095	203.137.76.53
XLX097	80.211.154.173
XLX098	111.168.214.61
XLX099	80.211.27.75
XLX100	45.62.234.223
XLX101	104.167.104.220
XLX102	23.111.174.196
XLX103	104.167.115.135
XLX104	23.111.174.197
XLX105	51.254.99.78
XLX108	61.199.25.130
XLX109	115.179.53.132
XLX110	150.7.164.10
XLX111	61.195.96.160
XLX112	94.177.235.81
XLX113	151.12.36.103
XLX114	5.135.188.16
XLX115	217.182.128.3
XLX116	31.185.101.211
XLX118	5.249.148.252
XLX119	125.129.207.86
XLX120	81.150.10.63
XLX121	174.37.249.156
XLX122	80.104.195.226
XLX123	153.249.33.193
XLX124	211.14.169.234
XLX125	213.181.208.52
XLX127	190.112.228.107
XLX128	153.154.222.244
XLX129	219.97.226.94
XLX130	194.59.177.45
XLX131	80.127.118.226
XLX132	91.203.55.87
XLX134	159.89.176.86
XLX135	74.208.214.69
XLX140	95.211.211.145
XLX142	44.168.48.8
XLX145	178.59.23.138
XLX146	213.7.197.202
XLX147	46.41.1.127
XLX150	80.211.10.212
XLX151	94.254.105.206
XLX153	210.189.104.236
XLX155	18.235.96.93
XLX158	150.66.16.176
XLX160	61.195.109.179
XLX164	122.222.1.50
XLX170	210.178.113.173
XLX171	210.178.113.123
XLX175	162.248.92.25
XLX180	192.241.240.7
XLX181	122.19.214.143
XLX185	89.106.108.151
XLX190	190.194.12.53
XLX193	80.211.129.64
XLX194	80.211.129.64
XLX196	64.179.223.222
XLX199	153.126.179.214
XLX200	185.203.119.158
XLX202	148.251.122.251
XLX204	85.214.126.111
XLX206	193.190.240.227
XLX207	192.168.1.11
XLX208	151.80.155.39
XLX210	104.167.102.44
XLX212	52.38.90.188
XLX214	185.47.129.230
XLX215	185.87.96.172
XLX216	74.214.25.135
XLX220	124.41.83.11
XLX222	212.43.96.84
XLX223	75.145.119.225
XLX224	203.137.99.97
XLX225	61.195.108.252
XLX226	2.226.183.226
XLX227	89.33.44.100
XLX228	92.104.60.248
XLX229	194.191.4.54
XLX230	80.250.3.114
XLX232	89.185.97.35
XLX235	5.150.254.97
XLX238	172.104.239.219
XLX241	151.80.158.227
XLX242	73.14.84.43
XLX246	172.93.48.159
XLX248	158.69.206.45
XLX250	75.115.207.48
XLX252	118.21.66.186
XLX255	142.91.158.199
XLX257	206.189.65.240
XLX258	75.60.237.19
XLX261	44.144.0.23
XLX262	87.139.70.67
XLX263	85.214.193.146
XLX264	52.2.131.118
XLX265	212.237.51.82
XLX266	212.237.51.82
XLX268	194.38.140.204
XLX270	158.64.26.132
XLX272	200.231.36.188
XLX274	75.115.207.48
XLX277	64.137.185.24
XLX280	82.53.50.90
XLX282	210.188.25.17
XLX284	95.158.165.32
XLX285	91.92.93.15
XLX287	43.245.172.2
XLX288	121.75.75.200
XLX290	44.182.7.20
XLX291	101.143.242.189
XLX295	45.62.224.93
XLX298	133.208.199.102
XLX299	203.86.194.92
XLX300	45.62.247.43
XLX302	144.217.241.23
XLX303	75.70.52.143
XLX305	145.239.116.57
XLX307	72.21.76.154
XLX308	104.131.81.32
XLX310	52.11.207.121
XLX311	46.41.0.214
XLX312	192.241.160.183
XLX313	34.213.108.164
XLX315	65.101.7.50
XLX317	44.48.8.15
XLX321	31.207.110.45
XLX326	61.195.125.193
XLX328	212.237.33.114
XLX329	114.181.139.32
XLX330	18.222.199.205
XLX332	188.213.168.99
XLX333	194.116.29.73
XLX334	96.47.95.121
XLX335	185.206.145.2
XLX336	23.226.233.133
XLX338	122.116.216.47
XLX339	198.98.53.247
XLX345	45.62.237.34
XLX350	61.210.37.57
XLX352	35.230.162.146
XLX356	93.152.167.4
XLX357	93.152.167.4
XLX358	93.152.167.4
XLX359	94.156.172.213
XLX360	222.229.25.105
XLX364	159.65.231.53
XLX365	59.139.141.204
XLX367	18.216.66.72
XLX367	xrf367.ad6dm.net
XLX370	188.213.168.24
XLX371	212.237.8.77
XLX373	218.251.38.117
XLX374	61.195.108.146
XLX376	75.145.119.225
XLX377	186.159.96.100
XLX379	104.218.36.162
XLX380	160.16.65.39
XLX382	61.116.3.205
XLX388	138.197.67.52
XLX389	114.72.128.181
XLX390	149.7.214.253
XLX393	139.91.200.186
XLX395	5.249.151.111
XLX398	45.62.243.153
XLX399	185.227.110.247
XLX400	13.58.192.185
XLX404	91.229.143.187
XLX405	81.0.146.92
XLX410	166.78.145.146
XLX410	xlx.n5amd.com
XLX411	82.171.119.45
XLX412	61.195.107.113
XLX420	174.138.113.116
XLX421	118.189.181.236
XLX425	192.231.186.8
XLX431	61.195.98.225
XLX433	217.160.22.17
XLX434	51.254.128.134
XLX438	80.211.189.236
XLX440	153.176.140.229
XLX441	203.137.99.110
XLX443	52.31.246.91
XLX444	188.68.37.51
XLX445	18.221.229.191
XLX446	78.226.112.146
XLX449	159.89.183.117
XLX450	104.167.106.81
XLX454	218.250.250.21
XLX455	208.71.169.83
XLX456	54.37.204.187
XLX460	183.53.66.145
XLX464	52.192.129.174
XLX466	144.202.26.251
XLX470	104.49.29.243
XLX473	104.49.29.243
XLX477	81.105.24.211
XLX479	198.58.106.10
XLX486	51.255.172.249
XLX487	5.89.187.10
XLX499	203.137.76.22
XLX500	58.96.21.253
XLX501	198.211.98.63
XLX502	190.148.222.28
XLX505	45.248.50.37
XLX506	121.200.19.211
XLX508	185.188.4.15
XLX510	110.141.219.161
XLX511	213.172.232.13
XLX514	153.195.172.251
XLX515	203.137.78.35
XLX518	176.9.1.168
XLX519	149.56.165.76
XLX520	119.59.126.210
XLX521	150.129.184.54
XLX522	14.102.146.160
XLX523	115.132.95.247
XLX525	80.211.68.38
XLX530	116.251.193.99
XLX532	203.96.198.197
XLX534	208.71.169.83
XLX538	131.129.217.94
XLX540	116.83.226.236
XLX544	202.218.152.66
XLX550	89.36.222.146
XLX551	140.227.198.45
XLX553	45.79.92.86
XLX554	52.35.183.178
XLX555	210.86.135.13
XLX560	150.66.42.72
XLX567	212.91.156.69
XLX569	203.137.111.98
XLX570	172.104.13.31
XLX573	216.189.148.204
XLX583	183.76.148.183
XLX587	68.32.126.21
XLX595	220.146.24.34
XLX599	203.137.118.190
XLX600	13.69.14.204
XLX601	51.141.52.193
XLX602	212.56.100.200
XLX603	216.246.155.99
XLX604	139.162.241.24
XLX605	183.76.179.238
XLX608	219.122.253.83
XLX609	219.122.253.83
XLX610	89.186.80.81
XLX613	198.50.202.39
XLX616	44.103.39.7
XLX619	167.99.168.82
XLX626	45.77.234.162
XLX627	121.75.75.200
XLX630	61.195.125.81
XLX631	137.74.116.67
XLX634	60.38.20.164
XLX647	217.182.168.54
XLX650	5.69.180.202
XLX651	198.96.90.144
XLX655	146.64.235.19
XLX666	86.188.14.171
XLX672	180.27.223.252
XLX673	180.147.243.178
XLX678	192.168.10.110
XLX684	212.237.17.83
XLX689	97.107.128.47
XLX695	155.254.33.145
XLX698	203.137.123.89
XLX699	82.102.5.239
XLX700	95.149.39.23
XLX701	61.195.107.77
XLX703	61.195.98.254
XLX704	150.66.34.110
XLX705	203.183.8.203
XLX706	93.186.255.126
XLX707	90.145.156.196
XLX708	150.66.20.222
XLX709	212.237.34.32
XLX711	212.237.18.27
XLX712	153.215.181.34
XLX713	218.251.63.99
XLX714	81.169.140.163
XLX715	81.169.228.115
XLX716	79.147.230.179
XLX717	44.137.70.100
XLX720	116.83.227.199
XLX722	80.211.2.161
XLX723	62.38.192.143
XLX724	75.99.228.35
XLX725	172.245.9.180
XLX727	114.178.165.6
XLX730	190.14.50.165
XLX732	190.159.68.105
XLX733	45.56.117.158
XLX735	104.131.81.32
XLX737	195.130.75.246
XLX738	210.171.151.238
XLX740	173.208.200.180
XLX741	203.137.78.41
XLX746	178.254.34.44
XLX747	87.147.130.172
XLX748	104.167.97.200
XLX749	45.77.102.203
XLX750	203.86.206.49
XLX751	203.118.145.79
XLX752	66.154.105.195
XLX755	178.22.148.229
XLX757	43.229.63.42
XLX762	129.21.36.65
XLX765	153.126.212.136
XLX766	201.62.48.61
XLX767	212.237.9.90
XLX768	80.211.199.231
XLX770	153.126.173.9
XLX773	89.46.75.166
XLX775	149.202.61.17
XLX776	182.168.37.205
XLX777	194.182.66.76
XLX781	101.143.242.199
XLX782	153.221.123.92
XLX787	46.41.1.96
XLX788	192.168.0.96
XLX789	45.33.119.142
XLX794	101.143.242.95
XLX800	87.252.188.119
XLX801	213.47.71.17
XLX803	77.116.100.67
XLX804	77.118.251.171
XLX806	178.198.79.73
XLX807	122.18.165.164
XLX808	18.220.252.27
XLX809	78.46.11.69
XLX810	71.41.121.228
XLX811	104.167.112.102
XLX812	203.145.233.141
XLX813	97.76.81.165
XLX817	18.235.96.93
XLX818	47.102.214.43
XLX820	116.83.227.199
XLX825	51.75.252.197
XLX828	195.225.116.244
XLX833	78.226.112.146
XLX844	137.226.79.122
XLX847	142.93.124.143
XLX850	88.198.94.77
XLX852	42.2.140.44
XLX858	54.227.203.214
XLX859	54.227.203.214
XLX860	24.134.86.93
XLX861	66.175.218.63
XLX865	45.32.212.226
XLX866	46.93.205.194
XLX867	51.254.115.5
XLX870	103.3.234.95
XLX871	222.172.252.56
XLX873	219.122.217.203
XLX878	203.137.123.113
XLX880	176.10.105.211
XLX883	153.179.224.224
XLX886	118.163.103.178
XLX887	118.163.103.177
XLX888	46.18.142.169
XLX889	130.149.36.93
XLX893	104.223.59.212
XLX897	212.237.2.183
XLX900	94.177.237.192
XLX901	77.117.160.175
XLX902	104.233.76.150
XLX903	80.211.29.226
XLX904	211.14.169.215
XLX906	212.237.11.53
XLX907	81.44.202.207
XLX908	92.222.23.124
XLX909	216.86.147.198
XLX910	94.177.207.26
XLX911	178.128.118.127
XLX912	80.211.1.143
XLX915	72.28.30.93
XLX919	80.211.232.174
XLX920	81.150.10.62
XLX921	44.143.184.83
XLX922	81.150.10.62
XLX925	90.255.232.101
XLX929	158.69.166.132
XLX930	94.177.160.5
XLX931	68.131.30.206
XLX933	164.132.104.167
XLX935	188.213.166.199
XLX940	202.218.37.121
XLX944	202.218.34.210
XLX945	213.202.229.40
XLX946	212.227.174.45
XLX950	158.64.26.134
XLX951	18.188.166.109
XLX956	192.99.245.120
XLX959	203.137.98.121
XLX960	80.211.226.89
XLX964	52.173.142.244
XLX965	47.23.66.19
XLX966	203.150.19.24
XLX967	95.158.165.32
XLX969	142.93.46.36
XLX970	157.7.221.186
XLX971	211.14.169.43
XLX972	109.226.48.53
XLX973	211.14.169.43
XLX974	94.177.217.52
XLX975	54.37.90.211
XLX976	212.237.36.71
XLX978	193.70.0.229
XLX979	217.162.36.91
XLX981	153.210.14.45
XLX985	81.89.101.155
XLX986	194.59.205.218
XLX987	185.32.183.148
XLX988	80.211.236.189
XLX989	50.27.131.75
XLX990	35.164.237.63
XLX991	80.211.19.121
XLX992	5.69.180.202
XLX993	97.64.20.63
XLX994	35.177.233.106
XLX995	118.27.30.92
XLX996	47.104.177.248
XLX997	94.177.187.40
XLX998	44.140.236.20
XLX999	94.177.173.53
