# Prepared at ar-dns.net - Sat, 04 Jul 2020 21:41:18 GMT
XRF000	000.xreflector.org
XRF951	18.188.166.109
XRF956	192.99.245.120
XRF959	203.137.98.121
XRF960	80.211.226.89
XRF964	52.173.142.244
XRF965	47.23.66.19
XRF966	203.150.19.24
XRF967	xlx967.uk.to
XRF969	142.93.46.36
XRF970	157.7.221.186
XRF972	46.121.158.50
XRF973	xrf973.xreflector-jp.org
XRF974	xlx974.dynu.net
XRF975	176.31.161.9
XRF976	212.237.36.71
XRF977	977.opendstar.eu
XRF978	978.opendstar.eu
XRF979	217.162.36.91
XRF981	153.210.14.45
XRF986	81.89.102.160
XRF987	xrf987.metro-uhf.org
XRF988	988.xreflector.es
XRF989	xrf989.bbhill.net
XRF990	35.164.237.63
XRF991	91.92.136.118
XRF993	97.64.20.63
XRF994	35.177.233.106
XRF995	xlx995.ddns.net
XRF996	47.104.177.248
XRF997	xrf997.iw2gob.it
XRF998	xlx.sm7.hamnet.nu
XRF999	xrf999.no-ip.org
XRFWDX	worldwidedx.com
# EOF - Sat, 04 Jul 2020 21:41:18 GMT
